resolucao_id,simbolo_resolucao,ano,periodo_2009,periodo_fonte,tema,voto_importante,convergente,eleitorado_valido,percentual_apoio_convergente
4521,A/RES/59/307,2005,2005-2008,pré-2009,Palestina/Oriente Médio,0,1,129,97.63779527559056
4522,A/RES/59/280,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,155,20.91503267973856
4594,A/RES/60/231,2005,2005-2008,pré-2009,Direitos humanos,0,1,131,99.2248062015504
4595,A/RES/60/230,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,128,99.2063492063492
4596,A/RES/60/229,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,130,72.65625
4597,A/RES/60/226,2005,2005-2008,pré-2009,Outros / sem codificação,0,0,121,
4598,A/RES/60/200,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,168,71.08433734939759
4599,A/RES/60/185,2005,2005-2008,pré-2009,Desenvolvimento econômico,1,1,171,69.8224852071006
4600,A/RES/60/184,2005,2005-2008,pré-2009,Desenvolvimento econômico,1,1,173,69.5906432748538
4601,A/RES/60/183,2005,2005-2008,pré-2009,Palestina/Oriente Médio,0,1,170,91.66666666666669
4602,A/RES/60/170,2005,2005-2008,pré-2009,Direitos humanos,0,1,172,38.23529411764706
4603,A/RES/60/174,2005,2005-2008,pré-2009,Direitos humanos,0,0,169,
4604,A/RES/60/173,2005,2005-2008,pré-2009,Direitos humanos,0,0,169,
4605,A/RES/60/172,2005,2005-2008,pré-2009,Direitos humanos,0,0,166,
4606,A/RES/60/171,2005,2005-2008,pré-2009,Direitos humanos,1,0,168,
4607,A/RES/60/165,2005,2005-2008,pré-2009,Direitos humanos,0,1,178,98.86363636363636
4608,A/RES/60/164,2005,2005-2008,pré-2009,Direitos humanos,0,1,177,61.714285714285715
4609,A/RES/60/163,2005,2005-2008,pré-2009,Direitos humanos,0,1,177,65.14285714285714
4610,A/RES/60/162,2005,2005-2008,pré-2009,Outros / sem codificação,1,1,174,99.4186046511628
4611,A/RES/60/157,2005,2005-2008,pré-2009,Desenvolvimento econômico; Direitos humanos,0,1,179,96.045197740113
4612,A/RES/60/155,2005,2005-2008,pré-2009,Direitos humanos,0,1,178,69.88636363636364
4613,A/RES/60/152,2005,2005-2008,pré-2009,Direitos humanos,0,0,178,
4614,A/RES/60/150,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,174,57.55813953488372
4615,A/RES/60/146,2005,2005-2008,pré-2009,Descolonização; Direitos humanos; Palestina/Oriente Médio,0,1,176,96.55172413793105
4616,A/RES/60/144,2005,2005-2008,pré-2009,Direitos humanos,0,1,179,96.045197740113
4617,A/RES/60/143,2005,2005-2008,pré-2009,Direitos humanos,0,1,175,64.73988439306359
4618,A/RES/60/45,2005,2005-2008,pré-2009,Desenvolvimento econômico,0,1,178,99.4318181818182
4619,A/RES/60/46,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear; Desenvolvimento econômico,0,1,182,98.88888888888889
4620,A/RES/60/48,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,181,72.62569832402235
4621,A/RES/60/51,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,0,180,
4622,A/RES/60/53,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,0,179,
4623,A/RES/60/54,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,182,98.88888888888889
4625,A/RES/60/58,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,178,93.75
4626,A/RES/60/59,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,180,67.41573033707866
4627,A/RES/60/60,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,181,97.20670391061452
4628,A/RES/60/61,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear; Desenvolvimento econômico,0,1,180,98.31460674157304
4629,A/RES/60/62,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,170,92.85714285714286
4630,A/RES/60/65,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear; Descolonização,0,0,177,
4631,A/RES/60/66,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,180,98.87640449438204
4632,A/RES/60/68,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear; Desenvolvimento econômico,0,1,178,99.4318181818182
4633,A/RES/60/70,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,178,63.06818181818182
4634,A/RES/60/72,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,1,0,169,
4635,A/RES/60/75,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,176,98.85057471264368
4636,A/RES/60/76,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,179,70.05649717514125
4637,A/RES/60/56,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,178,85.79545454545455
4638,A/RES/60/80,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,175,90.17341040462428
4639,A/RES/60/88,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,173,63.74269005847953
4640,A/RES/60/92,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,174,94.18604651162792
4641,A/RES/60/95,2005,2005-2008,pré-2009,Armas/desarmamento/nuclear,0,1,177,97.14285714285714
4642,A/RES/60/100,2005,2005-2008,pré-2009,Palestina/Oriente Médio,0,1,173,92.98245614035088
4643,A/RES/60/101,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,172,93.52941176470588
4644,A/RES/60/103,2005,2005-2008,pré-2009,Palestina/Oriente Médio,0,1,169,94.61077844311376
4645,A/RES/60/104,2005,2005-2008,pré-2009,Descolonização; Direitos humanos; Palestina/Oriente Médio,1,1,170,50
4646,A/RES/60/105,2005,2005-2008,pré-2009,Descolonização; Palestina/Oriente Médio,0,1,171,92.3076923076923
4647,A/RES/60/106,2005,2005-2008,pré-2009,Palestina/Oriente Médio,0,1,170,89.88095238095238
4648,A/RES/60/107,2005,2005-2008,pré-2009,Direitos humanos; Palestina/Oriente Médio,0,1,172,85.88235294117646
4649,A/RES/60/108,2005,2005-2008,pré-2009,Outros / sem codificação,0,1,172,90.58823529411764
4650,A/RES/60/110,2005,2005-2008,pré-2009,Descolonização,0,1,174,97.09302325581396
4651,A/RES/60/111,2005,2005-2008,pré-2009,Descolonização; Desenvolvimento econômico,0,1,173,97.6608187134503
4652,A/RES/60/112,2005,2005-2008,pré-2009,Descolonização,0,1,173,70.76023391812865
4653,A/RES/60/118,2005,2005-2008,pré-2009,Descolonização,0,1,172,97.05882352941175
