rcid,doc_symbol,unres,session,date,year,period,importantvote,amend,para,short,descr,title_key,issue,issue_family,n_issue_codes,vote_brazil,vote_china,brazil_china_convergent,convergence,pct_same_as_brazil,pct_same_as_china,pct_same_as_both_when_convergent,pct_same_as_brazil_not_china_when_divergent,pct_same_as_china_not_brazil_when_divergent,support_gap_brazil_minus_china_pct,china_support_advantage_pct,abs_support_gap_pct,valid_electorate_n,comparison_electorate_n,total_vote_records_n,absent_or_missing_n,support_percent_denominator,document_url,vote_record_url,source
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,pré-2009,0,NA,NA,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,financing of the united nations interim force in lebanon,Palestinian conflict,Palestina/Oriente Médio,1,yes,yes,TRUE,convergente,97.63779527559055,97.63779527559055,97.63779527559055,NA,NA,0,0,0,129,127,129,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4522,A/RES/59/280,R/59/280,59,2005-03-08,2005,pré-2009,0,NA,NA,United Nations declaration on human cloning : resolution / a,United Nations declaration on human cloning : resolution / adopted by the General Assembly,united nations declaration on human cloning,Sem issue codificado,Outros / sem codificação,0,no,no,TRUE,convergente,20.915032679738562,20.915032679738562,20.915032679738562,NA,NA,0,0,0,155,153,155,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/59/280,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F280,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4594,A/RES/60/231,R/60/231,60,2005-12-23,2005,pré-2009,0,NA,NA,Rights of the child : resolution / adopted by the General As,Rights of the child : resolution / adopted by the General Assembly,rights of the child,Human rights,Direitos humanos,1,yes,yes,TRUE,convergente,99.2248062015504,99.2248062015504,99.2248062015504,NA,NA,0,0,0,131,129,131,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/231,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F231,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4595,A/RES/60/230,R/60/230,60,2005-12-23,2005,pré-2009,0,NA,NA,Convention on the Elimination of All Forms of Discrimination,Convention on the Elimination of All Forms of Discrimination against Women : resolution / adopted by the General Assembly,convention on the elimination of all forms of discrimination against women,Sem issue codificado,Outros / sem codificação,0,yes,yes,TRUE,convergente,99.2063492063492,99.2063492063492,99.2063492063492,NA,NA,0,0,0,128,126,128,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/230,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F230,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4596,A/RES/60/229,R/60/229,60,2005-12-23,2005,pré-2009,0,NA,NA,Future operation of the International Research and Training,Future operation of the International Research and Training Institute for the Advancement of Women : resolution / adopted by the General Assembly,future operation of the international research and training institute for the advancement of women,Sem issue codificado,Outros / sem codificação,0,yes,yes,TRUE,convergente,72.65625,72.65625,72.65625,NA,NA,0,0,0,130,128,130,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/229,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F229,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4597,A/RES/60/226,R/60/226,60,2005-12-23,2005,pré-2009,0,NA,NA,Transparency in armaments : resolution / adopted by the Gene,Transparency in armaments : resolution / adopted by the General Assembly,transparency in armaments,Sem issue codificado,Outros / sem codificação,0,yes,abstain,FALSE,divergente,82.3529411764706,17.647058823529413,NA,82.3529411764706,17.647058823529413,64.70588235294119,-64.70588235294119,64.70588235294119,121,119,121,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/226,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F226,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4598,A/RES/60/200,R/60/200,60,2005-12-22,2005,pré-2009,0,NA,NA,"International Year of Deserts and Desertification, 2006 : re","International Year of Deserts and Desertification, 2006 : resolution / adopted by the General Assembly",international year of deserts and desertification 2006,Sem issue codificado,Outros / sem codificação,0,yes,yes,TRUE,convergente,71.08433734939759,71.08433734939759,71.08433734939759,NA,NA,0,0,0,168,166,168,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/200,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F200,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4599,A/RES/60/185,R/60/185,60,2005-12-22,2005,pré-2009,1,NA,NA,Unilateral economic measures as a means of political and eco,Unilateral economic measures as a means of political and economic coercion against developing countries : resolution / adopted by the General Assembly,unilateral economic measures as a means of political and economic coercion against developing countries,Economic development,Desenvolvimento econômico,1,yes,yes,TRUE,convergente,69.8224852071006,69.8224852071006,69.8224852071006,NA,NA,0,0,0,171,169,171,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/185,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F185,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4600,A/RES/60/184,R/60/184,60,2005-12-22,2005,pré-2009,1,NA,NA,International trade and development : resolution / adopted b,International trade and development : resolution / adopted by the General Assembly,international trade and development,Economic development,Desenvolvimento econômico,1,yes,yes,TRUE,convergente,69.5906432748538,69.5906432748538,69.5906432748538,NA,NA,0,0,0,173,171,173,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/184,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F184,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
4601,A/RES/60/183,R/60/183,60,2005-12-22,2005,pré-2009,0,NA,NA,Permanent sovereignty of the Palestinian people in the Occup,"Permanent sovereignty of the Palestinian people in the Occupied Palestinian Territory, including East Jerusalem, and of the Arab population in the occupied Syrian Golan over their natural resources : resolution / adopted by the General Assembly",permanent sovereignty of the palestinian people in the occupied palestinian territory including east jerusalem and of the arab population in the occupied syrian golan over their natural resources,Palestinian conflict,Palestina/Oriente Médio,1,yes,yes,TRUE,convergente,91.66666666666667,91.66666666666667,91.66666666666667,NA,NA,0,0,0,170,168,170,0,demais países com voto válido; ausentes excluídos,https://docs.un.org/en/A/RES/60/183,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F60%2F183,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), acessado em 2026-05-16; raw preservado em data/raw/unvotes/unvotes_0.3.0.tar.gz"
