rcid,data,ano,periodo_2009,pos_2009,sessao,simbolo_resolucao,tema,voto_importante,voto_brasil,voto_china,convergente
4036,1997-03-05,1997,1997-2008,0,51,R/51/223,Palestinian conflict,0,yes,yes,1
4037,1997-05-04,1997,1997-2008,0,51,R/51/229,Sem codificacao tematica,0,yes,no,0
4038,1997-06-06,1997,1997-2008,0,51,R/51/233,Palestinian conflict,0,yes,yes,1
4042,1997-11-03,1997,1997-2008,0,52,R/52/22,Sem codificacao tematica,0,yes,yes,1
4043,1997-11-03,1997,1997-2008,0,52,R/52/24,Sem codificacao tematica,0,yes,yes,1
4039,1997-11-04,1997,1997-2008,0,52,R/52/10,Economic development,1,yes,yes,1
4040,1997-11-04,1997,1997-2008,0,52,R/52/11,Sem codificacao tematica,1,yes,abstain,0
4044,1997-11-04,1997,1997-2008,0,52,R/52/26,Sem codificacao tematica,0,yes,yes,1
4041,1997-11-05,1997,1997-2008,0,52,R/52/14,Sem codificacao tematica,0,yes,yes,1
6014,1997-11-25,1997,1997-2008,0,52,R/52/22,Sem codificacao tematica,,yes,yes,1
4045,1997-12-03,1997,1997-2008,0,52,R/52/33,Arms control and disarmament,0,abstain,yes,0
4046,1997-12-03,1997,1997-2008,0,52,R/52/35,Nuclear weapons and nuclear material,0,yes,yes,1
4047,1997-12-03,1997,1997-2008,0,52,R/52/36,Arms control and disarmament; Nuclear weapons and nuclear material,0,yes,yes,1
4048,1997-12-03,1997,1997-2008,0,52,R/52/37,Arms control and disarmament,0,yes,yes,1
4049,1997-12-03,1997,1997-2008,0,52,R/52/38A,Arms control and disarmament,0,yes,abstain,0
4050,1997-12-03,1997,1997-2008,0,52,R/52/38B,Arms control and disarmament; Colonialism,0,yes,abstain,0
4051,1997-12-03,1997,1997-2008,0,52,R/52/38E,Arms control and disarmament,0,yes,yes,1
4052,1997-12-03,1997,1997-2008,0,52,R/52/38H,Arms control and disarmament,1,yes,yes,1
4053,1997-12-03,1997,1997-2008,0,52,R/52/38J,Arms control and disarmament,0,yes,yes,1
4054,1997-12-03,1997,1997-2008,0,52,R/52/38K,Arms control and disarmament; Nuclear weapons and nuclear material,0,yes,yes,1
4055,1997-12-03,1997,1997-2008,0,52,R/52/38L,Arms control and disarmament; Nuclear weapons and nuclear material,0,yes,yes,1
4056,1997-12-03,1997,1997-2008,0,52,R/52/38M,Arms control and disarmament; Nuclear weapons and nuclear material,0,yes,yes,1
4057,1997-12-03,1997,1997-2008,0,52,R/52/38N,Nuclear weapons and nuclear material,0,yes,yes,1
4058,1997-12-03,1997,1997-2008,0,52,R/52/38O,Arms control and disarmament; Nuclear weapons and nuclear material,0,yes,yes,1
4059,1997-12-03,1997,1997-2008,0,52,R/52/38Q,Arms control and disarmament,0,yes,yes,1
4060,1997-12-03,1997,1997-2008,0,52,R/52/38R,Arms control and disarmament; Colonialism,0,yes,yes,1
4061,1997-12-03,1997,1997-2008,0,52,R/52/39C,Arms control and disarmament; Nuclear weapons and nuclear material,0,yes,yes,1
4062,1997-12-03,1997,1997-2008,0,52,R/52/40C,Arms control and disarmament,0,yes,yes,1
4063,1997-12-03,1997,1997-2008,0,52,R/52/41,Arms control and disarmament; Nuclear weapons and nuclear material; Palestinian conflict,0,yes,yes,1
4064,1997-12-03,1997,1997-2008,0,52,R/52/44,Sem codificacao tematica,0,yes,yes,1
4065,1997-12-03,1997,1997-2008,0,52,R/52/49,Human rights; Palestinian conflict,0,yes,yes,1
4066,1997-12-03,1997,1997-2008,0,52,R/52/50,Human rights; Palestinian conflict,0,yes,yes,1
4067,1997-12-03,1997,1997-2008,0,52,R/52/51,Human rights; Palestinian conflict,0,yes,yes,1
4068,1997-12-03,1997,1997-2008,0,52,R/52/52,Palestinian conflict,0,yes,yes,1
4069,1997-12-03,1997,1997-2008,0,52,R/52/53,Arms control and disarmament; Palestinian conflict,0,yes,yes,1
4070,1997-12-03,1997,1997-2008,0,52,R/52/54,Palestinian conflict,0,abstain,yes,0
4103,1997-12-03,1997,1997-2008,0,52,R/52/169F,Sem codificacao tematica,0,yes,yes,1
4071,1997-12-04,1997,1997-2008,0,52,R/52/57,Palestinian conflict,0,yes,yes,1
4072,1997-12-04,1997,1997-2008,0,52,R/52/59,Colonialism; Human rights; Palestinian conflict,0,yes,yes,1
4073,1997-12-04,1997,1997-2008,0,52,R/52/60,Palestinian conflict,0,yes,yes,1
4074,1997-12-04,1997,1997-2008,0,52,R/52/61,Palestinian conflict,0,yes,yes,1
4075,1997-12-04,1997,1997-2008,0,52,R/52/62,Palestinian conflict,0,yes,yes,1
4076,1997-12-04,1997,1997-2008,0,52,R/52/63,Palestinian conflict,0,yes,yes,1
