"uf";"nome_munic";"populacao"
"RO";"Alta Floresta D'Oeste";22728
"RO";"Ariquemes";109523
"RO";"Cabixi";5188
"RO";"Cacoal";85893
"RO";"Cerejeiras";16204
"RO";"Colorado do Oeste";15544
"RO";"Corumbiara";7220
"RO";"Costa Marques";18798
"RO";"Espigão D'Oeste";32695
"RO";"Guajará-Mirim";46556
"RO";"Jaru";51620
"RO";"Ji-Paraná";130009
"RO";"Machadinho D'Oeste";40867
"RO";"Nova Brasilândia D'Oeste";20489
"RO";"Ouro Preto do Oeste";35737
"RO";"Pimenta Bueno";36881
"RO";"Porto Velho";539354
"RO";"Presidente Médici";18571
"RO";"Rio Crespo";3804
"RO";"Rolim de Moura";55407
"RO";"Santa Luzia D'Oeste";6216
"RO";"Vilhena";102211
"RO";"São Miguel do Guaporé";23077
"RO";"Nova Mamoré";31392
"RO";"Alvorada D'Oeste";14106
"RO";"Alto Alegre dos Parecis";13255
"RO";"Alto Paraíso";21847
"RO";"Buritis";40356
"RO";"Novo Horizonte do Oeste";8329
"RO";"Cacaulândia";6269
"RO";"Campo Novo de Rondônia";14266
"RO";"Candeias do Jamari";27388
"RO";"Castanheiras";2987
"RO";"Chupinguaia";11472
"RO";"Cujubim";26183
"RO";"Governador Jorge Teixeira";7445
"RO";"Itapuã do Oeste";10641
"RO";"Ministro Andreazza";9559
"RO";"Mirante da Serra";10818
"RO";"Monte Negro";16007
"RO";"Nova União";6895
"RO";"Parecis";6198
"RO";"Pimenteiras do Oeste";2148
"RO";"Primavera de Rondônia";2776
"RO";"São Felipe D'Oeste";5066
"RO";"São Francisco do Guaporé";20681
"RO";"Seringueiras";11851
"RO";"Teixeirópolis";4233
"RO";"Theobroma";10395
"RO";"Urupá";11272
"RO";"Vale do Anari";11377
"RO";"Vale do Paraíso";6656
"AC";"Acrelândia";15490
"AC";"Assis Brasil";7534
"AC";"Brasiléia";26702
"AC";"Bujari";10420
"AC";"Capixaba";12008
"AC";"Cruzeiro do Sul";89072
"AC";"Epitaciolândia";18696
"AC";"Feijó";34884
"AC";"Jordão";8473
"AC";"Mâncio Lima";19311
"AC";"Manoel Urbano";9581
"AC";"Marechal Thaumaturgo";19299
"AC";"Plácido de Castro";19955
"AC";"Porto Walter";12241
"AC";"Rio Branco";413418
"AC";"Rodrigues Alves";19351
"AC";"Santa Rosa do Purus";6717
