"tema","pos_2009","n","previsao_tema"
"Arms control and disarmament",0,94,0.75531914893617
"Arms control and disarmament",1,59,0.932203389830508
"Arms control and disarmament; Colonialism",0,8,0.125
"Arms control and disarmament; Colonialism; Economic development; Nuclear weapons and nuclear material",1,1,1
"Arms control and disarmament; Colonialism; Nuclear weapons and nuclear material",0,3,0
"Arms control and disarmament; Colonialism; Nuclear weapons and nuclear material",1,3,0
"Arms control and disarmament; Economic development",0,16,0.8125
"Arms control and disarmament; Economic development",1,15,0.733333333333333
"Arms control and disarmament; Economic development; Human rights",1,1,1
"Arms control and disarmament; Economic development; Nuclear weapons and nuclear material",0,3,1
"Arms control and disarmament; Economic development; Nuclear weapons and nuclear material",1,2,1
"Arms control and disarmament; Nuclear weapons and nuclear material",0,104,0.875
"Arms control and disarmament; Nuclear weapons and nuclear material",1,101,0.702970297029703
"Arms control and disarmament; Nuclear weapons and nuclear material; Palestinian conflict",0,6,1
"Arms control and disarmament; Palestinian conflict",0,6,1
"Colonialism",0,53,1
"Colonialism",1,31,1
"Colonialism; Economic development",0,12,1
"Colonialism; Economic development",1,8,1
"Colonialism; Human rights",0,10,1
"Colonialism; Human rights",1,8,1
"Colonialism; Human rights; Palestinian conflict",0,44,1
"Colonialism; Human rights; Palestinian conflict",1,36,1
"Colonialism; Palestinian conflict",0,14,1
"Colonialism; Palestinian conflict",1,7,1
"Economic development",0,42,0.952380952380952
"Economic development",1,42,0.904761904761905
"Economic development; Human rights",0,13,1
"Economic development; Human rights",1,9,0.888888888888889
"Economic development; Nuclear weapons and nuclear material",1,2,1
"Human rights",0,161,0.490683229813665
"Human rights",1,101,0.633663366336634
"Human rights; Palestinian conflict",0,34,1
"Human rights; Palestinian conflict",1,19,1
"Nuclear weapons and nuclear material",0,65,0.876923076923077
"Nuclear weapons and nuclear material",1,36,0.833333333333333
"Palestinian conflict",0,139,0.949640287769784
"Palestinian conflict",1,61,1
"Sem codificacao tematica",0,253,0.671936758893281
"Sem codificacao tematica",1,140,0.785714285714286
