"verificacao","resultado"
"Municipios: dimensoes e colunas","PASS"
"Municipios: 27 UFs, chave e ausentes","PASS"
"Municipios: populacoes inteiras positivas","PASS"
"Municipios: acentos e apostrofos preservados","PASS"
"SP: 645 municipios e extremos plausiveis","PASS"
"Variancia: denominador n versus n-1","PASS"
"Mudanca de unidade: media, desvio e variancia","PASS"
"Esperanca iterada por UF","PASS"
"AGNU: chave, dimensoes e ausentes de analise","PASS"
"AGNU: datas, janela e periodos","PASS"
"AGNU: indicadores e igualdade de votos","PASS"
"Binaria: primeiro e segundo momentos e variancia","PASS"
"Simulacao: suporte e tamanho","PASS"
"Juncao por periodo: linhas e ausentes","PASS"
"Esperanca iterada AGNU","PASS"
"Desvio CEF: media condicional zero","PASS"
"BLP binario coincide com CEF","PASS"
"BLP: inclinacao igual diferenca","PASS"
"BLP: centro e denominadores cancelados","PASS"
"Tema: particao e juncao preservam votos","PASS"
"Figura: ha temas elegiveis nos dois periodos","PASS"
"EQM: ordem e igualdade CEF-BLP","PASS"
"Decomposicao EQM para quatro candidatos","PASS"
"Decomposicao variancia e ganho preditivo","PASS"
"Nao linear: covariancia zero e EQMs distintos","PASS"
"Desvio BLP: ortogonal, mas nao centro condicional zero","PASS"
"Momentos: mesmas medias/variancias, curtoses distintas","PASS"
"Chebyshev: probabilidades exatas respeitam limite","PASS"
"BLP muda com pesos mantendo CEF","PASS"
