"uf","n","total","media"
"DF",1,3055149,3055149
"RJ",92,17366189,188762.923913043
"SP",645,46289333,71766.407751938
"AM",62,4207714,67866.3548387097
"PA",144,8690745,60352.3958333333
"AP",16,861773,53860.8125
"ES",78,4064052,52103.2307692308
"PE",185,9616621,51981.7351351351
"CE",184,9187103,49929.9076086957
"RR",15,631181,42078.7333333333
"AC",22,894470,40657.7272727273
"BA",417,14930634,35804.8776978417
"MS",79,2809394,35561.9493670886
"RO",52,1796460,34547.3076923077
"AL",102,3351543,32858.2647058823
"MA",217,7114598,32786.1658986175
"SE",75,2318822,30917.6266666667
"GO",246,7113540,28916.8292682927
"PR",399,11516840,28864.2606516291
"MT",141,3526220,25008.6524822695
"MG",853,21292666,24962.0937866354
"SC",295,7252502,24584.7525423729
"RS",497,11422973,22983.8490945674
"RN",167,3534165,21162.6646706587
"PB",223,4039277,18113.3497757848
"PI",224,3281480,14649.4642857143
"TO",139,1590248,11440.6330935252
