"ano_referencia","sessao","iso3c","pais","n_votacoes","ponto_ideal","limite_inf_90","limite_sup_90"
2019,74,"SYR","Syria",86,-1.988172,-2.33334,-1.628739
2019,74,"VEN","Venezuela",89,-1.76148,-2.144786,-1.386344
2019,74,"IRN","Iran",87,-1.663348,-2.071704,-1.298783
2019,74,"CUB","Cuba",89,-1.620046,-2.023636,-1.254864
2019,74,"NIC","Nicaragua",89,-1.50752,-1.923632,-1.140264
2019,74,"KHM","Cambodia",89,-1.19012,-1.558144,-0.8605308
2019,74,"LBN","Lebanon",88,-1.127337,-1.476473,-0.7505502
2019,74,"BDI","Burundi",79,-1.077427,-1.442775,-0.7554382
2019,74,"EGY","Egypt",91,-1.060392,-1.399651,-0.7654792
2019,74,"SDN","Sudan",90,-1.05259,-1.404623,-0.7437326
2019,74,"DZA","Algeria",91,-0.9730175,-1.30618,-0.6657874
2019,74,"OMN","Oman",90,-0.9399193,-1.271912,-0.6358486
2019,74,"IRQ","Iraq",91,-0.9156458,-1.239363,-0.6043798
2019,74,"MRT","Mauritania",87,-0.9072313,-1.244131,-0.5708259
2019,74,"LAO","Laos",91,-0.8569998,-1.189623,-0.5750584
2019,74,"IDN","Indonesia",91,-0.8393136,-1.159432,-0.5602596
2019,74,"BOL","Bolivia",80,-0.8311732,-1.170025,-0.4990463
2019,74,"UGA","Uganda",89,-0.8233867,-1.144468,-0.5344811
2019,74,"LBY","Libya",89,-0.8175923,-1.12204,-0.5313591
2019,74,"GIN","Guinea",53,-0.8030245,-1.180839,-0.4205543
2019,74,"KWT","Kuwait",91,-0.7946542,-1.091766,-0.4989053
2019,74,"VNM","Vietnam",89,-0.7880973,-1.117907,-0.5027144
2019,74,"BRN","Brunei",91,-0.787263,-1.113172,-0.491952
2019,74,"TKM","Turkmenistan",71,-0.7855692,-1.187993,-0.4452546
2019,74,"QAT","Qatar",91,-0.7595115,-1.047551,-0.4787073
2019,74,"KGZ","Kyrgyzstan",85,-0.7534878,-1.053787,-0.4779339
2019,74,"JOR","Jordan",89,-0.74239,-1.062945,-0.4839541
2019,74,"COG","Congo - Brazzaville",72,-0.7367898,-1.113777,-0.3973312
2019,74,"TUN","Tunisia",90,-0.7324632,-1.010747,-0.4556057
2019,74,"MMR","Myanmar (Burma)",72,-0.7256256,-1.052388,-0.4429419
2019,74,"ERI","Eritrea",91,-0.7129865,-1.026427,-0.4368598
2019,74,"YEM","Yemen",89,-0.7093818,-1.018187,-0.4354611
2019,74,"AZE","Azerbaijan",86,-0.6987677,-1.028768,-0.3807389
2019,74,"GAB","Gabon",86,-0.6970983,-1.011135,-0.3966653
2019,74,"SUR","Suriname",88,-0.68631,-0.9874641,-0.396356
2019,74,"MYS","Malaysia",91,-0.6809672,-0.9767009,-0.4042906
2019,74,"ARE","United Arab Emirates",91,-0.6660582,-0.9703015,-0.4015992
2019,74,"LKA","Sri Lanka",91,-0.6632256,-0.9450674,-0.3876295
2019,74,"TZA","Tanzania",67,-0.6391369,-1.023809,-0.3480287
2019,74,"MAR","Morocco",89,-0.6351195,-0.9440325,-0.3559206
2019,74,"TJK","Tajikistan",87,-0.6289776,-0.9296734,-0.3522254
2019,74,"MOZ","Mozambique",90,-0.6257945,-0.9130442,-0.3711391
2019,74,"KAZ","Kazakhstan",91,-0.622951,-0.890442,-0.3828032
2019,74,"VCT","St. Vincent & Grenadines",88,-0.6188209,-0.9399193,-0.361208
2019,74,"NPL","Nepal",90,-0.6176104,-0.9206605,-0.3649831
2019,74,"NER","Niger",65,-0.6077338,-0.9719654,-0.3096623
2019,74,"SOM","Somalia",33,-0.6037587,-1.011424,-0.2271204
2019,74,"SLE","Sierra Leone",87,-0.6008728,-0.9160708,-0.3304059
2019,74,"MNG","Mongolia",89,-0.5957218,-0.8758711,-0.3363015
2019,74,"AGO","Angola",87,-0.5873171,-0.8955669,-0.3412327
2019,74,"BGD","Bangladesh",91,-0.5777316,-0.8470893,-0.3420669
2019,74,"MDG","Madagascar",72,-0.570648,-0.9413359,-0.2757559
2019,74,"GNQ","Equatorial Guinea",17,-0.5679294,-1.056298,-0.1517216
2019,74,"TCD","Chad",81,-0.5672308,-0.8762465,-0.2799852
2019,74,"AFG","Afghanistan",86,-0.5644716,-0.8759544,-0.3090528
2019,74,"MDV","Maldives",91,-0.5599423,-0.8601789,-0.3075062
2019,74,"BTN","Bhutan",91,-0.5541799,-0.813967,-0.3173063
2019,74,"BHR","Bahrain",91,-0.552951,-0.8160408,-0.3147071
2019,74,"GMB","Gambia",89,-0.5480941,-0.8570282,-0.2879774
2019,74,"ATG","Antigua & Barbuda",86,-0.5464878,-0.8858343,-0.2580921
2019,74,"GRD","Grenada",79,-0.5441646,-0.8697362,-0.2760424
2019,74,"COM","Comoros",73,-0.5402576,-0.8635699,-0.2848646
2019,74,"MUS","Mauritius",89,-0.5293419,-0.8466372,-0.2817452
2019,74,"SEN","Senegal",89,-0.5290818,-0.8097764,-0.2707362
2019,74,"ZMB","Zambia",90,-0.5089767,-0.785793,-0.2757547
2019,74,"BEN","Benin",87,-0.5076978,-0.819131,-0.2507822
2019,74,"COD","Congo - Kinshasa",47,-0.495094,-0.9069392,-0.1803013
2019,74,"STP","São Tomé & Príncipe",66,-0.4950265,-0.8457762,-0.2173385
2019,74,"LCA","St. Lucia",89,-0.4846674,-0.7578498,-0.2563812
2019,74,"THA","Thailand",91,-0.4802754,-0.7550234,-0.2571985
2019,74,"JAM","Jamaica",90,-0.4760121,-0.7369659,-0.2468198
2019,74,"BFA","Burkina Faso",80,-0.4747092,-0.8064209,-0.2130321
2019,74,"NAM","Namibia",88,-0.4727298,-0.7239007,-0.2539205
2019,74,"TTO","Trinidad & Tobago",76,-0.467934,-0.7376903,-0.2344794
2019,74,"SGP","Singapore",91,-0.466504,-0.7150644,-0.2432978
2019,74,"GNB","Guinea-Bissau",65,-0.4592389,-0.7896134,-0.1915211
2019,74,"ETH","Ethiopia",91,-0.4543101,-0.7052095,-0.2146014
2019,74,"KEN","Kenya",88,-0.4485654,-0.6942012,-0.2339772
2019,74,"KNA","St. Kitts & Nevis",82,-0.4419863,-0.7443912,-0.2095742
2019,74,"SAU","Saudi Arabia",91,-0.4358272,-0.6601192,-0.2364717
2019,74,"PHL","Philippines",91,-0.435815,-0.6623333,-0.2290925
2019,74,"ECU","Ecuador",91,-0.4348782,-0.6757853,-0.2233844
2019,74,"DJI","Djibouti",91,-0.4287635,-0.6875066,-0.2236785
2019,74,"SYC","Seychelles",79,-0.419743,-0.7073751,-0.1853527
2019,74,"ZWE","Zimbabwe",88,-0.4133644,-0.6201644,-0.24309
2019,74,"MWI","Malawi",67,-0.4050796,-0.6914822,-0.1712608
2019,74,"URY","Uruguay",91,-0.3967452,-0.6570337,-0.18148
2019,74,"NGA","Nigeria",89,-0.3888035,-0.6207314,-0.1902158
2019,74,"SLV","El Salvador",91,-0.3757431,-0.6132309,-0.1723784
2019,74,"CHN","China",89,-0.3713594,-0.5723901,-0.1860068
2019,74,"BWA","Botswana",88,-0.3593131,-0.5894084,-0.156762
2019,74,"ZAF","South Africa",89,-0.3566996,-0.5878514,-0.163717
2019,74,"TLS","Timor-Leste",86,-0.3547108,-0.6340512,-0.1304943
2019,74,"UZB","Uzbekistan",84,-0.3196766,-0.5313002,-0.138222
2019,74,"LSO","Lesotho",86,-0.3159168,-0.5495877,-0.1111422
2019,74,"DOM","Dominican Republic",91,-0.313088,-0.5527918,-0.1158279
2019,74,"BHS","Bahamas",88,-0.3091638,-0.5477568,-0.09952802
2019,74,"CPV","Cape Verde",88,-0.2841186,-0.5067169,-0.1017986
2019,74,"BRB","Barbados",85,-0.2751052,-0.5083334,-0.08520405
2019,74,"GUY","Guyana",89,-0.2452153,-0.4511852,-0.06327427
2019,74,"CHL","Chile",91,-0.2326301,-0.4163223,-0.05607734
2019,74,"SWZ","Eswatini",60,-0.222753,-0.4664016,-0.006581512
2019,74,"BLZ","Belize",90,-0.2220631,-0.4279554,-0.04957987
2019,74,"BLR","Belarus",88,-0.2109687,-0.3875011,-0.04957549
2019,74,"IND","India",91,-0.1962429,-0.3737554,-0.04054997
2019,74,"PRY","Paraguay",90,-0.1892014,-0.3661371,-0.02470614
2019,74,"PRK","North Korea",81,-0.1838894,-0.347465,-0.02914116
2019,74,"CIV","Côte d’Ivoire",90,-0.1806766,-0.3528174,-0.01216861
2019,74,"PER","Peru",91,-0.171528,-0.344524,-0.01390428
2019,74,"MLI","Mali",88,-0.1661633,-0.312826,-0.01146465
2019,74,"CRI","Costa Rica",89,-0.1519157,-0.3223045,0.005410255
2019,74,"GHA","Ghana",88,-0.1398299,-0.3199257,0.02859993
2019,74,"FJI","Fiji",87,-0.1364643,-0.3243739,0.03052726
2019,74,"RWA","Rwanda",84,-0.1360091,-0.3070568,0.0393639
2019,74,"PAK","Pakistan",90,-0.1261294,-0.2760213,0.02256654
2019,74,"DMA","Dominica",9,-0.116532,-0.5466512,0.2304659
2019,74,"SLB","Solomon Islands",69,-0.1121802,-0.299271,0.07024606
2019,74,"ARG","Argentina",91,-0.08322732,-0.2434333,0.05755049
2019,74,"PAN","Panama",90,-0.07433724,-0.2495825,0.0779003
2019,74,"TUV","Tuvalu",54,-0.06829887,-0.2722212,0.111713
2019,74,"MEX","Mexico",91,-0.03433238,-0.1771718,0.1116666
2019,74,"TGO","Togo",90,-0.0220054,-0.1864488,0.1284452
2019,74,"CAF","Central African Republic",81,0.003767207,-0.1496513,0.1472803
2019,74,"KIR","Kiribati",83,0.009002352,-0.1665475,0.1677576
2019,74,"WSM","Samoa",87,0.01285041,-0.1532891,0.1524022
2019,74,"VUT","Vanuatu",88,0.01407133,-0.1528723,0.1599605
2019,74,"CMR","Cameroon",88,0.02422586,-0.1245777,0.1645586
2019,74,"COL","Colombia",91,0.06544258,-0.08213134,0.1946209
2019,74,"SSD","South Sudan",44,0.08380439,-0.1566366,0.290079
2019,74,"PNG","Papua New Guinea",56,0.0902777,-0.09630536,0.2516594
2019,74,"RUS","Russia",87,0.09219355,-0.04740277,0.217323
2019,74,"HND","Honduras",91,0.09657282,-0.04583086,0.2334068
2019,74,"GTM","Guatemala",91,0.1067654,-0.03929409,0.2372156
2019,74,"TON","Tonga",57,0.1199545,-0.03397178,0.2566055
2019,74,"ARM","Armenia",89,0.1288713,0.005243301,0.2490947
2019,74,"PLW","Palau",73,0.1787939,0.03744779,0.3282912
2019,74,"HTI","Haiti",60,0.2225631,0.04856318,0.3883381
2019,74,"BRA","Brazil",91,0.2885661,0.1720588,0.4095681
2019,74,"NRU","Nauru",64,0.3280104,0.1917286,0.4720263
2019,74,"LBR","Liberia",46,0.3563798,0.2056798,0.5196309
2019,74,"YUG","Yugoslavia",86,0.4402582,0.3154456,0.558425
2019,74,"TUR","Turkey",90,0.5964445,0.476752,0.722556
2019,74,"MDA","Moldova",89,0.6876478,0.5551016,0.8214301
2019,74,"JPN","Japan",91,0.695163,0.574044,0.8258557
2019,74,"NZL","New Zealand",91,0.7279887,0.5910128,0.8656038
2019,74,"LIE","Liechtenstein",91,0.7321688,0.6019939,0.8648853
2019,74,"CYP","Cyprus",91,0.7352327,0.6034715,0.8750977
2019,74,"MLT","Malta",91,0.7382987,0.6132074,0.8801515
2019,74,"BIH","Bosnia & Herzegovina",91,0.7459599,0.6256208,0.8819915
2019,74,"SMR","San Marino",91,0.7614491,0.6187356,0.8983882
2019,74,"AND","Andorra",91,0.7658494,0.6347991,0.9030796
2019,74,"IRL","Ireland",91,0.7780418,0.6338077,0.9175621
2019,74,"CHE","Switzerland",90,0.7857438,0.6577544,0.918377
2019,74,"AUT","Austria",91,0.8210793,0.6720412,0.9580308
2019,74,"KOR","South Korea",91,0.8304307,0.7005042,0.9725143
