atribuicao,sdo,att,atu,vies_selecao,vies_heterogeneidade
1,-0.800000000000001,2,-0.8,-2.8,1.4
2,0.2,3.4,-2.2,-3.2,2.8
3,0.2,-0.2,1.4,0.4,-0.8
4,0.2,1.4,-0.2,-1.2,0.8
5,0,0.8,0.4,-0.800000000000001,0.2
6,1.4,1.8,-0.6,-0.4,1.2
7,-1.6,4,-2.8,-5.6,3.4
8,-1.6,0.4,0.8,-2,-0.2
9,-1.6,2,-0.8,-3.6,1.4
10,-1.8,1.4,-0.2,-3.2,0.8
11,-0.4,2.4,-1.2,-2.8,1.8
12,-0.600000000000001,1.8,-0.6,-2.4,1.2
13,-0.6,3.4,-2.2,-4,2.8
14,-0.8,2.8,-1.6,-3.6,2.2
15,0.600000000000001,3.8,-2.6,-3.2,3.2
16,-0.600000000000001,-0.2,1.4,-0.4,-0.8
17,-0.8,-0.8,2,0,-1.4
18,0.600000000000001,0.2,1,0.4,-0.4
19,-0.8,0.8,0.4,-1.6,0.2
20,0.600000000000001,1.8,-0.6,-1.2,1.2
21,0.399999999999999,1.2,0,-0.800000000000001,0.6
22,0.199999999999999,3,-1.8,-2.8,2.4
23,0.2,-0.6,1.8,0.800000000000001,-1.2
24,0.199999999999999,1,0.2,-0.800000000000001,0.4
25,0,0.4,0.8,-0.4,-0.2
26,1.4,1.4,-0.2,0,0.8
27,1.2,0.8,0.4,0.4,0.2
28,1.2,2.4,-1.2,-1.2,1.8
29,1,1.8,-0.6,-0.800000000000001,1.2
30,2.4,2.8,-1.6,-0.4,2.2
31,1.2,-1.2,2.4,2.4,-1.8
32,1,-1.8,3,2.8,-2.4
33,2.4,-0.8,2,3.2,-1.4
34,1,-0.2,1.4,1.2,-0.8
35,2.4,0.8,0.4,1.6,0.2
36,2.2,0.2,1,2,-0.4
37,-0.6,1.4,-0.2,-2,0.8
38,-0.6,3,-1.8,-3.6,2.4
39,-0.8,2.4,-1.2,-3.2,1.8
40,0.6,3.4,-2.2,-2.8,2.8
41,-0.6,-0.6,1.8,0,-1.2
42,-0.8,-1.2,2.4,0.4,-1.8
43,0.600000000000001,-0.2,1.4,0.800000000000001,-0.8
44,-0.8,0.4,0.8,-1.2,-0.2
45,0.6,1.4,-0.2,-0.800000000000001,0.8
46,0.399999999999999,0.8,0.4,-0.4,0.2
47,0.399999999999999,0.8,0.4,-0.4,0.2
48,0.2,0.2,1,0,-0.4
49,1.6,1.2,0,0.4,0.6
50,0.2,1.8,-0.6,-1.6,1.2
51,1.6,2.8,-1.6,-1.2,2.2
52,1.4,2.2,-1,-0.800000000000001,1.6
53,0.2,-1.8,3,2,-2.4
54,1.6,-0.8,2,2.4,-1.4
55,1.4,-1.4,2.6,2.8,-2
56,1.4,0.2,1,1.2,-0.4
57,-0.800000000000001,4,-2.8,-4.8,3.4
58,-0.8,0.4,0.8,-1.2,-0.2
59,-0.800000000000001,2,-0.8,-2.8,1.4
60,-1,1.4,-0.2,-2.4,0.8
61,0.4,2.4,-1.2,-2,1.8
62,0.2,1.8,-0.6,-1.6,1.2
63,0.2,3.4,-2.2,-3.2,2.8
64,0,2.8,-1.6,-2.8,2.2
65,1.4,3.8,-2.6,-2.4,3.2
66,0.2,-0.2,1.4,0.4,-0.8
67,0,-0.8,2,0.800000000000001,-1.4
68,1.4,0.2,1,1.2,-0.4
69,0,0.8,0.4,-0.800000000000001,0.2
70,1.4,1.8,-0.6,-0.4,1.2
71,1.2,1.2,0,0,0.6
72,-1.6,2.4,-1.2,-4,1.8
73,-1.6,4,-2.8,-5.6,3.4
74,-1.8,3.4,-2.2,-5.2,2.8
75,-0.4,4.4,-3.2,-4.8,3.8
76,-1.6,0.4,0.8,-2,-0.2
77,-1.8,-0.2,1.4,-1.6,-0.8
78,-0.399999999999999,0.8,0.4,-1.2,0.2
79,-1.8,1.4,-0.2,-3.2,0.8
80,-0.4,2.4,-1.2,-2.8,1.8
81,-0.600000000000001,1.8,-0.6,-2.4,1.2
82,-0.600000000000001,1.8,-0.6,-2.4,1.2
83,-0.8,1.2,0,-2,0.6
84,0.600000000000001,2.2,-1,-1.6,1.6
85,-0.8,2.8,-1.6,-3.6,2.2
86,0.600000000000001,3.8,-2.6,-3.2,3.2
87,0.399999999999999,3.2,-2,-2.8,2.6
88,-0.8,-0.8,2,0,-1.4
89,0.600000000000001,0.2,1,0.4,-0.4
90,0.4,-0.4,1.6,0.800000000000001,-1
91,0.399999999999999,1.2,0,-0.800000000000001,0.6
92,0.2,1.4,-0.2,-1.2,0.8
93,0.199999999999999,3,-1.8,-2.8,2.4
94,0,2.4,-1.2,-2.4,1.8
95,1.4,3.4,-2.2,-2,2.8
96,0.2,-0.6,1.8,0.800000000000001,-1.2
97,0,-1.2,2.4,1.2,-1.8
98,1.4,-0.2,1.4,1.6,-0.8
99,0,0.4,0.8,-0.4,-0.2
100,1.4,1.4,-0.2,0,0.8
101,1.2,0.8,0.4,0.4,0.2
102,1.2,0.8,0.4,0.4,0.2
103,1,0.2,1,0.800000000000001,-0.4
104,2.4,1.2,0,1.2,0.6
105,1,1.8,-0.6,-0.800000000000001,1.2
106,2.4,2.8,-1.6,-0.4,2.2
107,2.2,2.2,-1,0,1.6
108,1,-1.8,3,2.8,-2.4
109,2.4,-0.8,2,3.2,-1.4
110,2.2,-1.4,2.6,3.6,-2
111,2.2,0.2,1,2,-0.4
112,-0.6,1.4,-0.2,-2,0.8
113,-0.8,0.8,0.4,-1.6,0.2
114,0.600000000000001,1.8,-0.6,-1.2,1.2
115,-0.8,2.4,-1.2,-3.2,1.8
116,0.6,3.4,-2.2,-2.8,2.8
117,0.399999999999999,2.8,-1.6,-2.4,2.2
118,-0.8,-1.2,2.4,0.4,-1.8
119,0.600000000000001,-0.2,1.4,0.800000000000001,-0.8
120,0.399999999999999,-0.8,2,1.2,-1.4
121,0.399999999999999,0.8,0.4,-0.4,0.2
122,0.2,0.2,1,0,-0.4
123,1.6,1.2,0,0.4,0.6
124,1.4,0.6,0.6,0.800000000000001,0.000000000000000222044604925031
125,1.4,2.2,-1,-0.800000000000001,1.6
126,1.4,-1.4,2.6,2.8,-2
127,-0.2,2.6,-1.4,-2.8,2
128,-0.199999999999999,-1,2.2,0.800000000000001,-1.6
129,-0.2,0.6,0.6,-0.800000000000001,-0.000000000000000222044604925031
130,-0.4,0,1.2,-0.4,-0.6
131,1,1,0.2,0,0.4
132,0.8,0.4,0.8,0.4,-0.2
133,0.800000000000001,2,-0.8,-1.2,1.4
134,0.6,1.4,-0.2,-0.800000000000001,0.8
135,2,2.4,-1.2,-0.4,1.8
136,0.8,-1.6,2.8,2.4,-2.2
137,0.6,-2.2,3.4,2.8,-2.8
138,2,-1.2,2.4,3.2,-1.8
139,0.6,-0.6,1.8,1.2,-1.2
140,2,0.4,0.8,1.6,-0.2
141,1.8,-0.2,1.4,2,-0.8
142,-1,1,0.2,-2,0.4
143,-1,2.6,-1.4,-3.6,2
144,-1.2,2,-0.8,-3.2,1.4
145,0.199999999999999,3,-1.8,-2.8,2.4
146,-1,-1,2.2,0,-1.6
147,-1.2,-1.6,2.8,0.4,-2.2
148,0.2,-0.6,1.8,0.800000000000001,-1.2
149,-1.2,0,1.2,-1.2,-0.6
150,0.199999999999999,1,0.2,-0.800000000000001,0.4
151,0,0.4,0.8,-0.4,-0.2
152,0,0.4,0.8,-0.4,-0.2
153,-0.2,-0.2,1.4,0,-0.8
154,1.2,0.8,0.4,0.4,0.2
155,-0.2,1.4,-0.2,-1.6,0.8
156,1.2,2.4,-1.2,-1.2,1.8
157,1,1.8,-0.6,-0.800000000000001,1.2
158,-0.2,-2.2,3.4,2,-2.8
159,1.2,-1.2,2.4,2.4,-1.8
160,1,-1.8,3,2.8,-2.4
161,1,-0.2,1.4,1.2,-0.8
162,0.800000000000001,0,1.2,0.800000000000001,-0.6
163,0.8,1.6,-0.4,-0.800000000000001,1
164,0.6,1,0.2,-0.4,0.4
165,2,2,-0.8,0,1.4
166,0.8,-2,3.2,2.8,-2.6
167,0.6,-2.6,3.8,3.2,-3.2
168,2,-1.6,2.8,3.6,-2.2
169,0.6,-1,2.2,1.6,-1.6
170,2,0,1.2,2,-0.6
171,1.8,-0.6,1.8,2.4,-1.2
172,1.8,-0.6,1.8,2.4,-1.2
173,1.6,-1.2,2.4,2.8,-1.8
174,3,-0.2,1.4,3.2,-0.8
175,1.6,0.4,0.8,1.2,-0.2
176,3,1.4,-0.2,1.6,0.8
177,2.8,0.8,0.4,2,0.2
178,1.6,-3.2,4.4,4.8,-3.8
179,3,-2.2,3.4,5.2,-2.8
180,2.8,-2.8,4,5.6,-3.4
181,2.8,-1.2,2.4,4,-1.8
182,0,0,1.2,0,-0.6
183,-0.2,-0.6,1.8,0.4,-1.2
184,1.2,0.4,0.8,0.800000000000001,-0.2
185,-0.199999999999999,1,0.2,-1.2,0.4
186,1.2,2,-0.8,-0.800000000000001,1.4
187,1,1.4,-0.2,-0.4,0.8
188,-0.2,-2.6,3.8,2.4,-3.2
189,1.2,-1.6,2.8,2.8,-2.2
190,1,-2.2,3.4,3.2,-2.8
191,1,-0.6,1.8,1.6,-1.2
192,0.8,-1.2,2.4,2,-1.8
193,2.2,-0.2,1.4,2.4,-0.8
194,2,-0.8,2,2.8,-1.4
195,2,0.8,0.4,1.2,0.2
196,2,-2.8,4,4.8,-3.4
197,-0.199999999999999,1,0.2,-1.2,0.4
198,-0.2,2.6,-1.4,-2.8,2
199,-0.4,2,-0.8,-2.4,1.4
200,1,3,-1.8,-2,2.4
201,-0.199999999999999,-1,2.2,0.800000000000001,-1.6
202,-0.4,-1.6,2.8,1.2,-2.2
203,1,-0.6,1.8,1.6,-1.2
204,-0.4,0,1.2,-0.4,-0.6
205,1,1,0.2,0,0.4
206,0.8,0.4,0.8,0.4,-0.2
207,0.8,0.4,0.8,0.4,-0.2
208,0.600000000000001,-0.2,1.4,0.800000000000001,-0.8
209,2,0.8,0.4,1.2,0.2
210,0.6,1.4,-0.2,-0.800000000000001,0.8
211,2,2.4,-1.2,-0.4,1.8
212,1.8,1.8,-0.6,0,1.2
213,0.6,-2.2,3.4,2.8,-2.8
214,2,-1.2,2.4,3.2,-1.8
215,1.8,-1.8,3,3.6,-2.4
216,1.8,-0.2,1.4,2,-0.8
217,-1,1,0.2,-2,0.4
218,-1.2,0.4,0.8,-1.6,-0.2
219,0.2,1.4,-0.2,-1.2,0.8
220,-1.2,2,-0.8,-3.2,1.4
221,0.199999999999999,3,-1.8,-2.8,2.4
222,0,2.4,-1.2,-2.4,1.8
223,-1.2,-1.6,2.8,0.4,-2.2
224,0.2,-0.6,1.8,0.800000000000001,-1.2
225,0,-1.2,2.4,1.2,-1.8
226,0,0.4,0.8,-0.4,-0.2
227,-0.2,-0.2,1.4,0,-0.8
228,1.2,0.8,0.4,0.4,0.2
229,1,0.2,1,0.800000000000001,-0.4
230,1,1.8,-0.6,-0.800000000000001,1.2
231,1,-1.8,3,2.8,-2.4
232,0.800000000000001,0,1.2,0.800000000000001,-0.6
233,0.6,-0.6,1.8,1.2,-1.2
234,2,0.4,0.8,1.6,-0.2
235,0.6,1,0.2,-0.4,0.4
236,2,2,-0.8,0,1.4
237,1.8,1.4,-0.2,0.4,0.8
238,0.6,-2.6,3.8,3.2,-3.2
239,2,-1.6,2.8,3.6,-2.2
240,1.8,-2.2,3.4,4,-2.8
241,1.8,-0.6,1.8,2.4,-1.2
242,1.6,-1.2,2.4,2.8,-1.8
243,3,-0.2,1.4,3.2,-0.8
244,2.8,-0.8,2,3.6,-1.4
245,2.8,0.8,0.4,2,0.2
246,2.8,-2.8,4,5.6,-3.4
247,-0.2,-0.6,1.8,0.4,-1.2
248,1.2,0.4,0.8,0.800000000000001,-0.2
249,1,-0.2,1.4,1.2,-0.8
250,1,1.4,-0.2,-0.4,0.8
251,1,-2.2,3.4,3.2,-2.8
252,2,-0.8,2,2.8,-1.4
