cname	ginet_solt	ginmar_solt	DesempregoLongo	IDH	Homi_number	Homi_number_UNODC	Homi_rate	Homi_rate_UNODC	ACR_Hazel	ACR_Cipriani	ACM_Hazel	ACM_GV
"Afghanistan"				0.342		1115		4	7	12		18
"Albania"				0.716	127	85	4	2.7		14		18
"Algeria"				0.671		277	1.5	0.8	13	13		
"Andorra"				0.822		1	1.3	1.3	16	12		
"Angola"				0.399						12		18
"Antigua and Barbuda"					6	16	6.8	18.5		8		
"Argentina"	42.28	43.8		0.772		2215	5.5	5.5	16	16	18	18
"Armenia"				0.693	44	83	1.4	2.8	14	14		18
"Australia"	33.48	46.04	14.7	0.935	229	263	1	1.2	10	10	17	18
"Austria"	27.11	48.5	21.3	0.849	53	43	0.6	0.5	14	14	18	18
"Azerbaijan"				0.71	206	164	2.2	1.8	14	14		
"Bahamas"				0.783	94	87	27.4	24.5		7		18
"Bahrain"				0.798		13		1.1		0		21
"Bangladesh"	33.33	57.75		0.463	3988	4219	2.7	2.8	9	9		
"Barbados"				0.787	31	19	11.3	6.8	7	11	16	18
"Belarus"				0.729		473	4.9	5	14	14	16	18
"Belgium"	24.73	37.46	44.2	0.865	180	189	1.7	1.3	16	12	18	18
"Belize"				0.694	129	97	41.4	32.2		9		
"Benin"				0.432						13		
"Bhutan"						8		1.1	10	10		18
"Bolivia"				0.637	884	835	8.9	8.4		12		18
"Bosnia and Herzegovina"				0.709	56	71	1.5	1.8	14	14	18	18
"Botswana"				0.627						8		
"Brazil"	46.68	51.13		0.693	40974	44518	21	23	12	12	18	18
"Brunei"				0.804			0.5		0	7		18
"Bulgaria"	35.17	39.33	43.3	0.741	147	150	2	2	14	14		18
"Burkina Faso"				0.303						13		
"Burundi"				0.276						13		18
"Cambodia"				0.489						0		18
"Cameroon"				0.456						10		21
"Canada"	31.43	42.85	7.8	0.886	554	540	1.6	1.6	12	12	18	18
"Cape Verde"				0.531		30		6.2		16		
"Cayman Islands"						8	8.4	14.7	8		17	
"Central African Republic"				0.311						13		
"Chad"				0.293						13		21
"Chile"	49.7	50.86		0.779	541	630	3.2	3.7	16	14		18
"China"				0.655	13410	14667	1	1.1	14	14	25	
"Colombia"	51.28	52.11		0.685	15459	15454	33.4	33.7	18	14		18
"Comoros"				0.426						13		
"Congo"				0.483						13		
"Congo, Democratic Republic"				0.233						0		
"Costa Rica"	46.02	47.28		0.723	527	525	11.3	11.4	12	12		
"Cote d'Ivoire"				0.394						10		21
"Croatia"	27.57	32.46	56.2	0.765	62	49	1.4	1.1	14	14	21	18
"Cuba"							5		16	0	16	18
"Cyprus (1975-)"	29.34	47.2	10.4	0.809		19	1.7	1.7	7	10		18
"Czech Republic"	24.85	41.57	31.2	0.841		94	1.7	0.9	15	15	18	18
"Denmark"	26.47	53.22	9.1	0.864		47	0.9	0.9	15	15	18	18
"Djibouti"				0.399						13		18
"Dominica"					15	13	22.1	18.3		12		18
"Dominican Republic"	45.51	46.76		0.66	2474	2375	24.9	24		13		18
"Ecuador"	46.81	47.37		0.692	2638	2625	18.2	17.8	12	12		18
"Egypt"				0.614		912	1.2	1.2	15	7	18	21
"El Salvador"				0.655	4005	4382	64.7	70.9		12		18
"Equatorial Guinea"				0.536						16		
"Eritrea"										12		
"Estonia"	31.1	35.62	27.4	0.809	70	70	5.2	5.4	16	7	18	18
"Ethiopia (1993-)"				0.324						9		
"Fiji"				0.667						10		18
"Finland"	25.36	47.82	16.6	0.869	118	120	2.2	2.2	15	15	20	18
"France (1963-)"	28.57	51.88	35.2	0.869		682	1.1	1.1	13	0	18	18
"Gabon"				0.642						13		18
